,Title,URL,Score,Author,Views,Likes,Dislikes
0,Don 39 t Go Back To School 2020 YouTube,https://www.youtube.com/watch?v=BKFSGIamq2A,6.58273066055121,Prince Ea,1607437,252814,8624
1,Every teenager NEEDS to hear this 2020 YouTube,https://www.youtube.com/watch?v=UB7nGT3egak,8.691784241746715,Prince Ea,2767890,320192,1743
2,DONT WASTE 2020 YouTube,https://www.youtube.com/watch?v=QpEXD-mrEgk,9.173156321261008,Prince Ea,4268077,471002,5723
3,Angry Man Humiliates Uber Driver Driver Teaches Him a Lesson 2020 YouTube,https://www.youtube.com/watch?v=XxLyR78qz5Q,9.504312203536006,Prince Ea,484891,51848,830
4,STOP wasting your life 2020 YouTube,https://www.youtube.com/watch?v=M2NDQOgGycg,9.836158900820708,Prince Ea,11291035,1159739,11828
5,Top 10 Celebrities with BS First Jobs YouTube,https://www.youtube.com/watch?v=WqpU_Kd81c0,10.029112456524539,Prince Ea,155712,15817,291
6,BEFORE YOU GO TO SCHOOL WATCH THIS WHAT IS SCHOOL FOR YouTube,https://www.youtube.com/watch?v=_PsLRgEYf9E,10.491400062713595,Prince Ea,17197482,1661133,21935
7,Every teenager NEEDS to hear this YouTube,https://www.youtube.com/watch?v=pLgVB1stuJ8,10.871119172891387,Prince Ea,2894729,268488,2211
8,Dear Future Generations Sorry YouTube,https://www.youtube.com/watch?v=eRLJscAlk1M,11.74474826801665,Prince Ea,25686798,2226121,39033
9,How I Tricked My Brain To Like Doing Hard Things dopamine detox YouTube,https://www.youtube.com/watch?v=9QiE-M1LrZk,11.94591629104335,Better Than Yesterday,9874805,834769,8143
10,How to trick brain to do hardest things Dopamine detox Ashish Shukla from Deep Knowledge YouTube,https://www.youtube.com/watch?v=QVf36rZQyCY,11.974024306244674,Deep Knowledge,1025659,86872,1215
11,STOP Saying quot I Love You quot YouTube,https://www.youtube.com/watch?v=cr-ZCI_ZaFg,12.564707461084273,Prince Ea,3277127,263510,2690
12,STOP Trusting quot Motivational quot Speakers 2020 YouTube,https://www.youtube.com/watch?v=QQiuxK72Ilo,12.631117446091046,Prince Ea,2277441,182968,2664
13,Don 39 t Go Back to School Teaser YouTube,https://www.youtube.com/watch?v=HGHkuXswyPQ,12.836616968406107,Prince Ea,289286,23294,758
14,NEW YEAR NEW M STOP YouTube,https://www.youtube.com/watch?v=hF0zqiiMgOk,13.138934163376502,Prince Ea,2232975,171421,1470
15,Student Vs Teacher 2020 YouTube,https://www.youtube.com/watch?v=H4xH8sw0Eh8,13.392877301861546,Prince Ea,9348523,706636,8614
16,The Untold Truth About Money How to Build Wealth From Nothing YouTube,https://www.youtube.com/watch?v=6mRbDEtDoyA,13.76382053999322,James Jani,3208030,238860,5783
17,The Illusion of MONEY TIME amp EGO Alan Watts YouTube,https://www.youtube.com/watch?v=dYSQ1NF1hvw,13.937938008560275,After Skool,592669,42954,432
18,BEFORE YOU OVERTHINK WATCH THIS YouTube,https://www.youtube.com/watch?v=_ICREZm9CtE,14.011691117628606,Prince Ea,13534551,975793,9846
19,Employee Teaches BOSS a Lesson YouTube,https://www.youtube.com/watch?v=LrVNTZ6ORm8,14.04103980424934,Prince Ea,1738716,126422,2591
20,How To Stay Motivated The Locus Rule YouTube,https://www.youtube.com/watch?v=8ZhoeSaPF-k,15.067249414746247,Improvement Pill,3507731,235957,3152
21,I Bought My First Home 2020 House Tour xf0 x9f x8f xa1 YouTube,https://www.youtube.com/watch?v=prSxHZBY3CU,15.289994826440866,James Charles,9989290,665543,12221
22,THE SPEECH I GAVE TO OUR WORLD LEADERS YouTube,https://www.youtube.com/watch?v=-SB5oUcx_iQ,15.525094005407253,Prince Ea,999164,64875,517
23,If They Hurt You WATCH THIS YouTube,https://www.youtube.com/watch?v=dgX5_2z_lH0,15.551940568429638,Prince Ea,877145,56691,290
24,STOP TRYING TO BE PERFECT YouTube,https://www.youtube.com/watch?v=LySC3v5geAc,15.73384908783419,Prince Ea,2186297,139739,784
25,Okay Boomer RAP BATTLE MUST WATCH YouTube,https://www.youtube.com/watch?v=DI5LO-gSUeU,15.957260863189795,Prince Ea,1632348,105761,3466
26,Before You Punish A Child See This YouTube,https://www.youtube.com/watch?v=H1RKIbK7iYg,15.96707524129527,Prince Ea,6263213,397371,5113
27,I SUED THE SCHOOL SYSTEM YouTube,https://www.youtube.com/watch?v=dqTTojTija8,16.30592505267159,Prince Ea,21964505,1363843,16817
28,How To Actually Get Things Done implementation intentions YouTube,https://www.youtube.com/watch?v=DUAB-BW-gZ8,16.702274548480553,Better Than Yesterday,270961,16358,135
29,A Message to Bullies YouTube,https://www.youtube.com/watch?v=jT6hSFAsrhY,17.28390485375972,Prince Ea,1487401,86848,791
30,HOW TO KILL FEAR IN 5 SECONDS YouTube,https://www.youtube.com/watch?v=ubSWWqDpldE,17.357651783400986,Prince Ea,2411811,140554,1606
31,Why You Can 39 t FOCUS And How To Fix That YouTube,https://www.youtube.com/watch?v=52nqjrCs57s,17.535881509794553,Better Than Yesterday,1101078,63350,560
32,Dopamine Fasting 2 0 Overcome Addiction amp Restore Motivation YouTube,https://www.youtube.com/watch?v=jCWADjUA9iI,17.593517782226,After Skool,641618,36942,473
33,A MESSAGE FROM YOUR BODY YouTube,https://www.youtube.com/watch?v=YEP30_iM-ZI,17.76708635201988,Prince Ea,2273352,128737,784
34,every teen needs to hear this YouTube,https://www.youtube.com/watch?v=nHGSnLLkemE,17.967253911312284,Ainura Kudaibergen,1913261,108137,1651
35,SHOCKING Principal Reacts to Prince EA I JUST SUED THE SCHOOL SYSTEM YouTube,https://www.youtube.com/watch?v=mc4vNEj49NU,21.574386591105963,Humza Mohammed,2067193,97038,1221
36,EVERYBODY DIES BUT NOT EVERYBODY LIVES YouTube,https://www.youtube.com/watch?v=ja-n5qUNRi8,22.36051921341563,Prince Ea,10828551,487155,2884
37,Kobe Bryant 39 s Life Advice Will Change Your Future MUST WATCH YouTube,https://www.youtube.com/watch?v=tiNCtzgfrrY,22.670247162301607,Motivation Madness,2306811,102728,973
38,Why You 39 re Always Tired Between 1pm 4pm and what to do about it YouTube,https://www.youtube.com/watch?v=TsD4DFC_aqQ,23.1746074797336,Better Than Yesterday,769003,33709,526
39,The Super Mario Effect Tricking Your Brain into Learning More Mark Rober TEDxPenn YouTube,https://www.youtube.com/watch?v=9vJRopau0g0,23.342522342522344,TEDx Talks,5187222,224346,2124
40,A POWERFUL STORY ABOUT LIFE YouTube,https://www.youtube.com/watch?v=2atNgJ6W4N0,25.735931432247984,Prince Ea,1120002,46865,3346
41,THE CHOICE Short Animated Movie YouTube,https://www.youtube.com/watch?v=_HEnohs6yYw,25.942819830306725,Project Better Self,19746066,799158,38020
42,How To Fix Your Sleep Schedule Reset Your Sleep Pattern animated YouTube,https://www.youtube.com/watch?v=iMfsa7ntJZE,26.12755158336092,Better Than Yesterday,1420764,55928,1550
43,The secrets of learning a new language L xc3 xbddia Machov xc3 xa1 YouTube,https://www.youtube.com/watch?v=o_XVt5rdpFY,26.765852637211168,TED,4602201,173917,1974
44,What Every Girl Needs to Hear Girl Above YouTube,https://www.youtube.com/watch?v=mVvpgwx3_r4,26.808581432866465,Girl Above,2924709,110232,1136
45,How to fix a broken heart Guy Winch YouTube,https://www.youtube.com/watch?v=k0GQSJrpVhM,27.058852365963155,TED,6292482,234742,2194
46,I Learned From People 39 s Mistakes Motivational Jack Ma Goal Quest YouTube,https://www.youtube.com/watch?v=rSDy5AdfRDI,27.162110980097903,Goal Quest,760186,28327,340
47,You Will Never Be Lazy Again Jim Kwik YouTube,https://www.youtube.com/watch?v=REeROakzwfU,27.55580520717318,Be Inspired,8535824,314592,4827
48,Feel Like Giving Up Use The Cookie Jar Method by David Goggins YouTube,https://www.youtube.com/watch?v=ANpmYcAE-8U,27.707230784142677,Better Than Yesterday,1143422,42702,1434
49,Inside the mind of a master procrastinator Tim Urban YouTube,https://www.youtube.com/watch?v=arj7oStGLkU,28.609082173179086,TED,29980058,1058807,10886
50,This Simple Trick Will Make You Motivated Everyday Animated Story YouTube,https://www.youtube.com/watch?v=IHwqhSLE9Gc,28.900513682123037,Mitch Manly,2098553,77680,5067
51,The brain changing benefits of exercise Wendy Suzuki YouTube,https://www.youtube.com/watch?v=BHY0FxzoKZE,29.45283233302846,TED,5442206,187995,3218
52,How to Achieve Your Most Ambitious Goals Stephen Duneier TEDxTucson YouTube,https://www.youtube.com/watch?v=TQMbvJNRpLE,30.57159573080435,TEDx Talks,7968731,264588,3930
53,Rich Dad Poor Dad Summary Animated YouTube,https://www.youtube.com/watch?v=TcNpoc-lF0M,30.905443697803463,Chronicle Living,4962518,164319,3748
54,Attractive Face or Not It depends on Tongue Posture YouTube,https://www.youtube.com/watch?v=zbzT00Cyq-g,31.110084361437558,What I ve Learned,6379745,210271,5201
55,My journey from Marine to actor Adam Driver YouTube,https://www.youtube.com/watch?v=nCwwVjPNloY,33.92020490241131,TED,9522046,283862,3143
56,How To Turn Awkwardness Into Confidence YouTube,https://www.youtube.com/watch?v=_PZKok5_KVA,34.25068400726848,Charisma on Command,8274657,245632,4041
57,Does time exist Andrew Zimmerman Jones YouTube,https://www.youtube.com/watch?v=R3tbVHlsKhs,35.14577750077906,TED Ed,3947398,113925,1610
58,THE MINDSET OF A WINNER Kobe Bryant Champions Advice YouTube,https://www.youtube.com/watch?v=VSceuiPBpxY,35.246985351414686,Motiversity,6287322,180269,1890
59,How to manage your time more effectively according to machines Brian Christian YouTube,https://www.youtube.com/watch?v=iDbdXTMnOmE,36.013204672422546,TED Ed,2836400,80404,1644
60,Sleep is your superpower Matt Walker YouTube,https://www.youtube.com/watch?v=5MuIMqhT8DM,36.23278006297498,TED,5258717,147752,2615
61,My escape from North Korea Hyeonseo Lee YouTube,https://www.youtube.com/watch?v=PdxPCeWw75k,37.04021809928239,TED,13022711,356769,5186
62,10 ways to have a better conversation Celeste Headlee YouTube,https://www.youtube.com/watch?v=R1vskiVDwl4,41.74932253599239,TED,9259290,225079,3296
63,The surprising habits of original thinkers Adam Grant YouTube,https://www.youtube.com/watch?v=fxbCHn6gE3U,42.81159332468823,TED,7065026,168244,3218
64,Who are you really The puzzle of personality Brian Little YouTube,https://www.youtube.com/watch?v=qYvXk_bqlBk,43.18168815930041,TED,7396980,174627,3328
65,WATCH THIS EVERYDAY AND CHANGE YOUR LIFE Denzel Washington Motivational Speech 2020 YouTube,https://www.youtube.com/watch?v=tbnzAVRZ9Xc,43.62904430501366,AlexKaltsMotivation,26110456,609087,10622
66,The power of introverts Susan Cain YouTube,https://www.youtube.com/watch?v=c0KYU2j0TM4,44.473625415843166,TED,10868598,247448,3065
67,How to Get Your Brain to Focus Chris Bailey TEDxManchester YouTube,https://www.youtube.com/watch?v=Hu4Yvq-g7_Y,45.38541522610981,TEDx Talks,5250911,118344,2648
68,The mind behind Linux Linus Torvalds YouTube,https://www.youtube.com/watch?v=o8NPllzkFhE,45.92558705671576,TED,3358033,73932,813
69,The orchestra in my mouth Tom Thum YouTube,https://www.youtube.com/watch?v=DFjIi2hxxf0,46.760697721755776,TED,27796850,609967,15518
70,String theory Brian Greene YouTube,https://www.youtube.com/watch?v=kF4ju6j6aLE,47.83379594478535,TED Ed,3843015,81774,1433
71,How mindfulness changes the emotional life of our brains Richard J Davidson TEDxSanFrancisco YouTube,https://www.youtube.com/watch?v=7CBfCW67xT8,48.35507301202996,TEDx Talks,639109,13576,359
72,The Skill of Humor Andrew Tarvin TEDxTAMU YouTube,https://www.youtube.com/watch?v=MdZAMSyn_As,51.776018781631464,TEDx Talks,8071726,159700,3803
73,The next outbreak We xe2 x80 x99re not ready Bill Gates YouTube,https://www.youtube.com/watch?v=6Af6b_wyiwI,52.23504719274082,TED,30947385,626034,33570
74,The art of misdirection Apollo Robbins YouTube,https://www.youtube.com/watch?v=GZGY0wPAnus,52.31418373599544,TED,21941458,426494,7077
75,Ingenious Home Design Solutions YouTube,https://www.youtube.com/watch?v=QBY5bEreKVM,53.44905257539365,BE AMAZED,2002736,38526,1056
76,How to speak so that people want to listen Julian Treasure YouTube,https://www.youtube.com/watch?v=eIho2S0ZahI,55.199014007386204,TED,28428265,525244,10230
77,Strange answers to the psychopath test Jon Ronson YouTube,https://www.youtube.com/watch?v=xYemnKEKx0c,56.58160728190533,TED,21072688,391313,18883
78,A simple way to break a bad habit Judson Brewer YouTube,https://www.youtube.com/watch?v=-moW9jvvMr4,56.60388736431805,TED,9715095,176173,4540
79,New bionics let us run climb and dance Hugh Herr YouTube,https://www.youtube.com/watch?v=CDsNZJTWw0w,59.959031793798246,TED,11456672,195209,4134
80,The future we 39 re building and boring Elon Musk YouTube,https://www.youtube.com/watch?v=zIwLWfaAg-8,60.14861475050589,TED,12900314,219605,5131
81,What makes a good life Lessons from the longest study on happiness Robert Waldinger YouTube,https://www.youtube.com/watch?v=8KkKuTCFvzI,61.09361606058636,TED,17860291,298486,6143
82,Looks aren 39 t everything Believe me I 39 m a model Cameron Russell YouTube,https://www.youtube.com/watch?v=KM4Xe6Dlp0Y,63.024114846589725,TED,25748187,428869,20324
83,The mathematics of weight loss Ruben Meerman TEDxQUT edited version YouTube,https://www.youtube.com/watch?v=vuIlsN32WaE,68.32822857142857,TEDx Talks,9864888,151529,7154
84,How to make stress your friend Kelly McGonigal YouTube,https://www.youtube.com/watch?v=RcGyVTAoXEU,69.56383535853735,TED,10493635,153926,3077
85,How I held my breath for 17 minutes David Blaine YouTube,https://www.youtube.com/watch?v=XFnGhrC_3Gs,69.96736405334553,TED,20791292,306982,9825
86,Your body language may shape who you are Amy Cuddy YouTube,https://www.youtube.com/watch?v=Ks-_Mh1QhMc,70.77800695453483,TED,18461523,266055,5218
87,The power of vulnerability Bren xc3 xa9 Brown YouTube,https://www.youtube.com/watch?v=iCvmsMzlF7o,73.79215719533333,TED,13921407,192638,3981
88,Programming your mind for success Carrie Green TEDxManchester YouTube,https://www.youtube.com/watch?v=MmfikLimeQ8,75.17519956368685,TEDx Talks,7581043,104413,3568
89,Dumb Ideas amp Solutions That Actually Work Part 1 YouTube,https://www.youtube.com/watch?v=K7zG1alY6cE,75.1964981287711,BE AMAZED,3938191,55624,3252
90,The price of shame Monica Lewinsky YouTube,https://www.youtube.com/watch?v=H_8y0WLm78U,86.60541138931397,TED,10639648,135242,12390
91,How great leaders inspire action Simon Sinek YouTube,https://www.youtube.com/watch?v=qp0HIF3SfI4,88.06900035046488,TED,12815889,148873,3352
92,The astounding athletic power of quadcopters Raffaello D 39 Andrea YouTube,https://www.youtube.com/watch?v=w2itwFJCgFQ,90.32509697439876,TED,9314324,105225,2105
93,Do schools kill creativity Sir Ken Robinson YouTube,https://www.youtube.com/watch?v=iG9CE55wbtY,94.65073920468407,TED,19398669,208460,3510
94,How to stay calm when you know you 39 ll be stressed Daniel Levitin YouTube,https://www.youtube.com/watch?v=8jPQjjsBbIc,109.64053327425965,TED,10888511,108450,9139
95,A Saudi an Indian and an Iranian walk into a Qatari bar Maz Jobrani YouTube,https://www.youtube.com/watch?v=9kxL9Cf46VM,112.4624570020702,TED,14287343,137676,10635
96,My journey to yo yo mastery BLACK YouTube,https://www.youtube.com/watch?v=gnuFrtTNUTc,112.6490471785384,TED,12177362,118252,10152
97,How to spot a liar Pamela Meyer YouTube,https://www.youtube.com/watch?v=P_6vDLq64gE,114.69782131243367,TED,20210559,188989,12782
98,The Valedictorian Speech that will change your life YouTube,https://www.youtube.com/watch?v=lCN6FjqDcHg,128.069387087832,Neel Sharma,18017954,157835,17146
99,Brain magic Keith Barry YouTube,https://www.youtube.com/watch?v=GigYWy2UmOY,130.71482773157553,TED,10232226,90442,12163
100,The puzzle of motivation Dan Pink YouTube,https://www.youtube.com/watch?v=rrkrvAUbU9Y,139.5640176099487,TED,9225042,68176,2077
101,10 things you didn 39 t know about orgasm Mary Roach YouTube,https://www.youtube.com/watch?v=7jx0dTYUO5E,182.32534991787284,TED,12987217,79184,7953
102,You See It Everyday but Don 39 t Know What It 39 s For YouTube,https://www.youtube.com/watch?v=UBcjSu9p9kM,inf,BRIGHT SIDE,0,0,0
103,How Taiwan keeps kids safe at school amid COVID 19 Marketplace YouTube,https://www.youtube.com/watch?v=wmK9Bt1xcnY,inf,CBC News,0,0,0
